,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
settings_apotheosis_seasonal_forced_birthday_name,Forced Birthday,Запустить день рождения,,,,,,,强制视为生日,Apotheosis Modデー,,,,
settings_apotheosis_seasonal_forced_birthday_desc,Is the Apotheosis Birthday holiday forcefully enabled?,Включен ли принудительно праздник дня рождения мода Apotheosis?,,,,,,,是否强制视为 Apotheosis 模组生日期间？,本MODの記念日イベント,,,,
settings_apotheosis_seasonal_forced_halloween_name,Forced Halloween,Запустить Хэллоуин,,,,,,,强制视为万圣节,ハロウィン,,,,
settings_apotheosis_seasonal_forced_halloween_desc,Is Halloween forcefully enabled?,Включен ли принудительно Хэллоуин?,,,,,,,是否强制视为万圣节期间？,ハロウィンのイベント,,,,
settings_apotheosis_seasonal_forced_smissmass_name,Forced Smissmass,Запустить Шмождество,,,,,,,强制视为 Smissmass,Smissmass,,,,
settings_apotheosis_seasonal_forced_smissmass_desc,Is the Smissmass holiday forcefully enabled?,Включен ли принудительно праздник Шмождества?,,,,,,,是否强制视为 Smissmass 期间？,Smissmassイベント,,,,
settings_apotheosis_seasonal_forced_cirno_name,Forced 9Ball Day,Запустить 9Ball Day,,,,,,,强制视为⑨日,9Ball Day,,,,
settings_apotheosis_seasonal_forced_cirno_desc,Is the 9Ball holiday forcefully enabled?,Включен ли принудительно праздник 9Ball Day?,,,,,,,是否强制视为⑨日期间？,9Ball Dayのイベント,,,,
settings_apotheosis_secret_golden_cape_name,Golden Cape,Золотая накидка,,,,,,,黄金斗篷,ゴールデンNoita,,,,
settings_apotheosis_secret_golden_cape_desc,Is the Golden Cape cosmetic enabled? \nSome people may want to disable this if using custom character mods.,"Включен ли аксессуар в виде золотой накидки? \nНекоторые могут захотеть выключить его, если используют пользовательские моды на персонажа.",,,,,,,是否启用黄金斗篷装饰？\n如果使用角色类模组，你可能想要关闭这个。,Noitaくんをゴールデンにする設定です。\nスキンMODを導入している場合は非推奨。,,,,
settings_apotheosis_spellrebalances_name,Spell Reworks,Переработка заклинаний,,,,,,,原版法术调整,バランス調整,,,,
settings_apotheosis_spellrebalances_desc,"Reworks various spells to have reduced mana costs to make them more practical.\nAlso reworks piercing, chainsaw & music note spells to be more inline with vanilla's spell balance.\nApotheosis is designed around this being enabled.","Перерабатывает различные заклинания, чтобы уменьшить затраты маны и сделать их более практичными.\nТакже перерабатывает заклинания пробивания, бензопилы и музыкальных нот, чтобы они больше соответствовали балансу заклинаний в ванильной игре.\nApotheosis разработан с учётом включения этой опции.",,,,,,,调整许多法术的法力消耗，使它们更加实用。\n此外，还调整了穿刺射击、链锯、音符法术，使它们与原版的平衡性相一致。\nApotheosis 模组是基于该选项启用的情况所设计。,"オンにすると一部のスペルのマナ消費が低下し、より使いやすくなります。\nまた、貫通呪文、チェーンソー、音符など一部の強力なスペルは弱体化されます。\nこのMODのゲームバランスは、この設定がオンであることを前提に調整されています。",,,,
settings_apotheosis_meatrealmrework_name,Meat Realm Rework,Переработка Царства Плоти,,,,,,,血肉地狱重做,肉の領域リワーク,,,,
settings_apotheosis_meatrealmrework_desc,Reworks the Meat Realm to have more gradual damage and harder bosses.,Переработка Царства Плоти для более постепенного нанесения урона и более сильных боссов.,,,,,,,重做血肉地狱，重做后其诅咒效果会逐渐施加于玩家，同时也会由更困难的 Boss 坐镇。,肉の領域での特殊ダメージの仕様変更、エリアボスの強化,,,,
settings_apotheosis_reset_progress_name,Reset Progress,Сбросить прогресс,,,,,,,重置进展,進行度をリセット,,,,
settings_apotheosis_reset_progress_desc,Resets all Apotheosis progress.,Сбрасывает весь прогресс в моде Apotheosis.,,,,,,,重置神化模组相关的进展。,Apotheosis MOD関係の進行度を全てリセットします。,,,,
settings_apotheosis_reset_progress_confirm_name,RESET ALL PROGRESS,СБРОСИТЬ ВЕСЬ ПРОГРЕСС,,,,,,,确认重置所有进展,リセットする,,,,
settings_apotheosis_reset_progress_confirm_desc,Resets all unlock progress in Apotheosis.\nThis cannot be undone.,"Сбрасывает весь прогресс разблокировок в Apotheosis.\nЭто действие нельзя отменить.",,,,,,,重置你在神化模组中取得的所有进展。\n此操作无法撤销。,Apotheosis MOD関係の進行度を全てリセットします。\nこの操作を実行すると元に戻せなくなります。,,,,
settings_apotheosis_reset_progress_warning,Progress can not be reset mid-run.,Прогресс не может быть сброшен во время прохождения.,,,,,,,游戏过程中不能重置进展。,ランの最中に進行度をリセットすることはできません。,,,,
settings_apotheosis_keybind_name,Key Binds,Привязка клавиш,,,,,,,键位绑定,操作設定,,,,
settings_apotheosis_keybind_desc,Edit your Apotheosis keybinds,Измените привязку клавиш для Apotheosis,,,,,,,编辑你的 Apotheosis 模组键位绑定,Apotheosisで使用するキーを設定できます。,,,,
settings_apotheosis_keybind_tutorial_altfire,\nHit the prompt below to input a new alt-fire binding.\nThe default setting is right mouse button.,"Нажмите на подсказку ниже, чтобы ввести новую привязку для альтернативного огня.\nПо умолчанию используется правая кнопка мыши.",,,,,,,点击下方提示以输入新的副法术绑定。\n默认为鼠标右键。,"ALT魔法の発動に使用するキーの設定です。下のボタンを押してから、設定したいキーを入力してください。\n初期設定は、マウス右クリックです。",,,,
settings_apotheosis_keybind_tutorial_disguise,\nHit the prompt below to input a new disguise binding.\nThe default setting is G.,,,,,,,,,,,,,
settings_apotheosis_keybind_newbinding,SET NEW BINDING,УСТАНОВИТЬ НОВУЮ ПРИВЯЗКУ,,,,,,,设定新绑定,キーを入力,,,,
settings_apotheosis_keybind_current_altfire,Current alt-fire binding: ,Текущая привязка альтернативного огня: ,,,,,,,副法术释放按键绑定：,現在の設定: ,,,,
settings_apotheosis_keybind_current_disguise,Current disguise binding: ,,,,,,,,,,,,,
